Measure,Period,ADF_stat,ADF_p,PP_stat,PP_p,KPSS_stat,KPSS_p,agree_stationarity,error
AAPL,2023,-12.546839735334144,2.2506439600164527e-23,-12.503279225115108,2.776022055724856e-23,0.08101886474773572,0.1,True,
AAPL,2023-2024,-19.435601553250386,0.0,-19.38577657703464,0.0,0.0934833041529925,0.1,True,
AAPL,2023-2025,-12.12740968109202,1.7676105428073395e-22,-23.22626357460659,0.0,0.07568218258821927,0.1,True,
AAPL,2024,-15.011652161059224,1.053347468543282e-27,-15.025998935348511,1.0062200884106052e-27,0.17261855487400737,0.1,True,
AAPL,2024-2025,-10.877421513841803,1.3208077128900183e-19,-19.412604161699537,0.0,0.08435333568320985,0.1,True,
AAPL,2025,-6.93685487295162,1.0492525103596555e-09,-12.045371741291536,2.6726167965089705e-22,0.07142186861273343,0.1,True,
AAPL,Full,-12.12740968109202,1.7676105428073395e-22,-23.22626357460659,0.0,0.07568218258821927,0.1,True,
AIQ,2023,-12.195738289699317,1.2558259747800534e-22,-12.300292043566609,7.476866816045106e-23,0.1027291614457893,0.1,True,
AIQ,2023-2024,-19.731821468643233,0.0,-19.71913454002673,0.0,0.034999069253875206,0.1,True,
AIQ,2023-2025,-14.397063955140743,8.632107866054867e-27,-24.022107554351358,0.0,0.03283213765469519,0.1,True,
AIQ,2024,-15.572601603303823,1.9780379750836016e-28,-15.79498720434847,1.0909169296995644e-28,0.02969105046092271,0.1,True,
AIQ,2024-2025,-12.22291765858238,1.0968718478392723e-22,-20.44419255998667,0.0,0.042173950877033926,0.1,True,
AIQ,2025,-6.71257938802975,3.64904414815066e-09,-12.292897583964255,7.754767019739635e-23,0.1421751127505281,0.1,True,
AIQ,Full,-14.397063955140743,8.632107866054867e-27,-24.022107554351358,0.0,0.03283213765469519,0.1,True,
AMD,2023,-14.421820562201695,7.889002427195133e-27,-14.402788707914787,8.453951602890228e-27,0.1468774776197909,0.1,True,
AMD,2023-2024,-21.324925462795235,0.0,-21.3397051783066,0.0,0.21176875307678894,0.1,True,
AMD,2023-2025,-24.773555240712504,0.0,-24.81683593002808,0.0,0.113730246360288,0.1,True,
AMD,2024,-15.93429776585091,7.666901200905459e-29,-15.942468524479786,7.51357310445831e-29,0.1473604001700496,0.1,True,
AMD,2024-2025,-20.273899669158762,0.0,-20.299923517382297,0.0,0.13353819472319686,0.1,True,
AMD,2025,-12.289606521580074,7.881821877296782e-23,-12.343800796575273,6.035442262491723e-23,0.3592026895771849,0.0947402200098341,True,
AMD,Full,-24.773555240712504,0.0,-24.81683593002808,0.0,0.113730246360288,0.1,True,
AMZN,2023,-12.017133402493931,3.083649099376204e-22,-15.559137899435298,2.053177827090329e-28,0.09550727158633399,0.1,True,
AMZN,2023-2024,-17.6925870218872,3.566616170220693e-30,-22.020224119779478,0.0,0.06286896386962659,0.1,True,
AMZN,2023-2025,-25.07020235461899,0.0,-25.50817284468093,0.0,0.10634988141210874,0.1,True,
AMZN,2024,-12.968471155832084,3.1172109844276444e-24,-15.465000354149621,2.6752567984346268e-28,0.06251496570517266,0.1,True,
AMZN,2024-2025,-20.258856577175003,0.0,-20.44878068478737,0.0,0.0642372219102572,0.1,True,
AMZN,2025,-12.853672118274806,5.287231151469032e-24,-12.85644883107906,5.219627337671262e-24,0.20090233690219997,0.1,True,
AMZN,Full,-25.07020235461899,0.0,-25.50817284468093,0.0,0.10634988141210874,0.1,True,
ARKQ,2023,-11.883911557063769,6.086573451140374e-22,-11.885779935935942,6.028461929239236e-22,0.11721288280517748,0.1,True,
ARKQ,2023-2024,-19.736567724509392,0.0,-19.707149483071614,0.0,0.17866180171864335,0.1,True,
ARKQ,2023-2025,-13.311181849911815,6.741606559220038e-25,-23.705323083607677,0.0,0.1529430445907324,0.1,True,
ARKQ,2024,-15.729032364059623,1.2961694214401105e-28,-15.754928939683701,1.2108354538423796e-28,0.36729062251119304,0.09125404202103748,True,
ARKQ,2024-2025,-20.15474326579957,0.0,-20.189806178787247,0.0,0.20441680666665954,0.1,True,
ARKQ,2025,-12.08092519296971,2.233315692210197e-22,-12.08333122055492,2.206388795206881e-22,0.29154100589364923,0.1,True,
ARKQ,Full,-13.311181849911815,6.741606559220038e-25,-23.705323083607677,0.0,0.1529430445907324,0.1,True,
AVGO,2023,-12.866388727100235,4.9848108917924964e-24,-12.858615521144804,5.167492275694044e-24,0.0894858219231135,0.1,True,
AVGO,2023-2024,-8.453010012547796,1.6429668459216197e-13,-19.531249399674714,0.0,0.02844302629511606,0.1,True,
AVGO,2023-2025,-13.76832891006344,9.788951885317871e-26,-24.086642702031973,0.0,0.029871103655145493,0.1,True,
AVGO,2024,-6.51030795636261,1.1046464296628282e-08,-14.735649260167314,2.6180940426989318e-27,0.047466443747208285,0.1,True,
AVGO,2024-2025,-11.702412945139002,1.5572912805472466e-21,-19.987678093658985,0.0,0.0365196119653384,0.1,True,
AVGO,2025,-6.731700588194132,3.283534117659203e-09,-13.223490177933346,9.908501989863144e-25,0.2959972490917367,0.1,True,
AVGO,Full,-13.76832891006344,9.788951885317871e-26,-24.086642702031973,0.0,0.029871103655145493,0.1,True,
BOTZ,2023,-11.768353784770321,1.1050925543263463e-21,-12.033125195234177,2.8435475687823325e-22,0.18883834218114712,0.1,True,
BOTZ,2023-2024,-19.65145360099311,0.0,-19.616259937262825,0.0,0.05200674569269116,0.1,True,
BOTZ,2023-2025,-14.34811942543621,1.0326723216316904e-26,-23.600459877940757,0.0,0.045268191433228584,0.1,True,
BOTZ,2024,-15.874123005283282,8.911519366855674e-29,-16.06491536304326,5.586983695705799e-29,0.04734781132190301,0.1,True,
BOTZ,2024-2025,-20.240586963002432,0.0,-20.351808916052878,0.0,0.04877359109214416,0.1,True,
BOTZ,2025,-12.078937319821177,2.255815337795587e-22,-12.074348336598858,2.3086417651648893e-22,0.13496035311693763,0.1,True,
BOTZ,Full,-14.34811942543621,1.0326723216316904e-26,-23.600459877940757,0.0,0.045268191433228584,0.1,True,
GOOGL,2023,-13.116024548996425,1.598528220588834e-24,-13.267583770082407,8.159407040998159e-25,0.08078110779009214,0.1,True,
GOOGL,2023-2024,-20.077474813410007,0.0,-20.329145153881697,0.0,0.05027738119531651,0.1,True,
GOOGL,2023-2025,-13.614120451228322,1.8490831741624498e-25,-24.289350030633756,0.0,0.11045175617811571,0.1,True,
GOOGL,2024,-12.006520089192712,3.25430570165398e-22,-15.17729205322227,6.2687183957317915e-28,0.07189823685190197,0.1,True,
GOOGL,2024-2025,-11.670832999763114,1.8365704850091994e-21,-20.098918748142925,0.0,0.08500817355045796,0.1,True,
GOOGL,2025,-8.037661928404312,1.8836413343027844e-12,-13.003369496661193,2.6586791165946416e-24,0.19633439456055923,0.1,True,
GOOGL,Full,-13.614120451228322,1.8490831741624498e-25,-24.289350030633756,0.0,0.11045175617811571,0.1,True,
IRBO,2023,-12.947138173580589,3.436827258609927e-24,-13.046336950771833,2.1878257230484066e-24,0.1473791055459727,0.1,True,
IRBO,2023-2024,-19.649747489076564,0.0,-19.69646603772936,0.0,0.03786260289923146,0.1,True,
IRBO,2023-2025,-13.2571685535062,8.541540432643274e-25,-24.07029733589554,0.0,0.06416725708422606,0.1,True,
IRBO,2024,-14.8845814501112,1.5906132078748274e-27,-15.366816232982742,3.5517773357940276e-28,0.08552098222789552,0.1,True,
IRBO,2024-2025,-11.397936887290632,7.774998353468255e-21,-20.11735739641614,0.0,0.11433415165035528,0.1,True,
IRBO,2025,-4.82897018789001,4.785479345487412e-05,-12.238137616481664,1.0169829391584379e-22,0.23750712050221193,0.1,True,
IRBO,Full,-13.2571685535062,8.541540432643274e-25,-24.07029733589554,0.0,0.06416725708422606,0.1,True,
META,2023,-13.609485970099124,1.8852163392240568e-25,-14.130393524276124,2.3392509093437076e-26,0.10377687959639786,0.1,True,
META,2023-2024,-16.420497259379406,2.5331242327668086e-29,-22.190220379018932,0.0,0.11971108506577836,0.1,True,
META,2023-2025,-24.92752455078886,0.0,-25.041638844893427,0.0,0.12056753484850781,0.1,True,
META,2024,-13.035499556586242,2.2978406491428685e-24,-16.936155824475737,9.694531999160868e-30,0.13983182268179598,0.1,True,
META,2024-2025,-20.75103562652815,0.0,-20.730195901604436,0.0,0.0937405928471097,0.1,True,
META,2025,-11.99931481832826,3.375616570725837e-22,-11.994895705062639,3.4522871825433694e-22,0.13243076456591682,0.1,True,
META,Full,-24.92752455078886,0.0,-25.041638844893427,0.0,0.12056753484850781,0.1,True,
MSFT,2023,-14.987162642506213,1.1393555689608006e-27,-15.173925721299959,6.333873419607217e-28,0.0939438876396909,0.1,True,
MSFT,2023-2024,-16.89997346321702,1.0294973225751234e-29,-22.121451037627466,0.0,0.1660731726627178,0.1,True,
MSFT,2023-2025,-24.866468203536055,0.0,-24.931645335686373,0.0,0.09306827342923095,0.1,True,
MSFT,2024,-12.254281380433838,9.387136358752483e-23,-15.939714131574078,7.564869359947915e-29,0.11619461219296111,0.1,True,
MSFT,2024-2025,-19.85487944208826,0.0,-19.86048402720397,0.0,0.11802287891544734,0.1,True,
MSFT,2025,-11.681989248422179,1.732521347059769e-21,-11.691338918417296,1.6499444531257897e-21,0.29766586594601135,0.1,True,
MSFT,Full,-24.866468203536055,0.0,-24.931645335686373,0.0,0.09306827342923095,0.1,True,
NVDA,2023,-13.378418334557328,5.034058680327423e-25,-13.391969972803684,4.747877587381413e-25,0.15848577010283396,0.1,True,
NVDA,2023-2024,-21.877661747651366,0.0,-21.92058737210204,0.0,0.09682541748895913,0.1,True,
NVDA,2023-2025,-14.567330842125555,4.688929743066256e-27,-25.80312943122314,0.0,0.12602381416469707,0.1,True,
NVDA,2024,-17.126018230806146,7.202743845096835e-30,-17.102786054133308,7.457104975235975e-30,0.2979696332084769,0.1,True,
NVDA,2024-2025,-11.765428291939832,1.1219928779307994e-21,-21.695379142259867,0.0,0.2300593178363651,0.1,True,
NVDA,2025,-7.116025551765076,3.829038314352813e-10,-13.18993611290468,1.1495781371769799e-24,0.2530079439548928,0.1,True,
NVDA,Full,-14.567330842125555,4.688929743066256e-27,-25.80312943122314,0.0,0.12602381416469707,0.1,True,
ROBO,2023,-11.319120885252056,1.1861749258789414e-20,-11.535347996061578,3.745061352655643e-21,0.24458039811267449,0.1,True,
ROBO,2023-2024,-19.313890190154368,0.0,-19.253537059898886,0.0,0.044069137462456325,0.1,True,
ROBO,2023-2025,-23.15990341190648,0.0,-23.15680023029449,0.0,0.04763933052504173,0.1,True,
ROBO,2024,-15.801798282762924,1.0718791393468466e-28,-16.190893681908662,4.1717727394929467e-29,0.03458630711041411,0.1,True,
ROBO,2024-2025,-19.907195371816453,0.0,-19.925558714201625,0.0,0.06537942504879343,0.1,True,
ROBO,2025,-11.750840206281142,1.2102728297482283e-21,-11.788968132288668,9.93114564703685e-22,0.17250114104738332,0.1,True,
ROBO,Full,-23.15990341190648,0.0,-23.15680023029449,0.0,0.04763933052504173,0.1,True,
TSLA,2023,-5.792629692496498,4.832521391057285e-07,-12.75669913672895,8.309916320715432e-24,0.1130761023704387,0.1,True,
TSLA,2023-2024,-20.11153843237688,0.0,-20.164520511146844,0.0,0.20169761655754223,0.1,True,
TSLA,2023-2025,-23.51739804572337,0.0,-23.5230565066989,0.0,0.05378564435981889,0.1,True,
TSLA,2024,-15.415825862720768,3.0803631257940346e-28,-15.42153421730759,3.030061224039197e-28,0.4033333642689063,0.075718377470299,True,
TSLA,2024-2025,-19.53260152746749,0.0,-19.533359377026024,0.0,0.10286391036632742,0.1,True,
TSLA,2025,-11.914651905575303,5.198918599603566e-22,-11.98296929698161,3.668180702867827e-22,0.1485631741652798,0.1,True,
TSLA,Full,-23.51739804572337,0.0,-23.5230565066989,0.0,0.05378564435981889,0.1,True,
TSM,2023,-13.427543369962425,4.0739043827826907e-25,-13.426259693338915,4.096416731694713e-25,0.10834814535719664,0.1,True,
TSM,2023-2024,-21.605311538278684,0.0,-21.954201898980674,0.0,0.09140752759428415,0.1,True,
TSM,2023-2025,-15.265132318577733,4.801005641753992e-28,-25.34259266920912,0.0,0.07337136605860058,0.1,True,
TSM,2024,-16.71221066790876,1.4314476781090884e-29,-17.305420243935224,5.595790316886797e-30,0.10401345989590455,0.1,True,
TSM,2024-2025,-12.699668651399788,1.0867997374899602e-23,-21.21089506106559,0.0,0.12517434400453992,0.1,True,
TSM,2025,-5.371728798696279,3.882452509517069e-06,-12.424087981586387,4.075550153028219e-23,0.26569650714226783,0.1,True,
TSM,Full,-15.265132318577733,4.801005641753992e-28,-25.34259266920912,0.0,0.07337136605860058,0.1,True,
VIX,2023,-14.279886016185017,1.329562932745376e-26,-14.67644463295703,3.206166807216177e-27,0.053587786786147014,0.1,True,
VIX,2023-2024,-11.47768859351038,5.0835802709786474e-21,-22.631033236201223,0.0,0.03615428258944917,0.1,True,
VIX,2023-2025,-23.850852376193693,0.0,-25.568580903223907,0.0,0.03811245063004478,0.1,True,
VIX,2024,-15.562644226838106,2.033310794871464e-28,-16.915978977708917,1.0023537020114826e-29,0.02425438087262232,0.1,True,
VIX,2024-2025,-19.27473393901451,0.0,-20.521173994182405,0.0,0.016132618170037624,0.1,True,
VIX,2025,-11.10842578170644,3.712154397814662e-20,-11.17470339114849,2.5881517485357463e-20,0.0629703377162202,0.1,True,
VIX,Full,-23.850852376193693,0.0,-25.568580903223907,0.0,0.03811245063004478,0.1,True,
^GSPC,2023,-12.445036908189781,3.680713640417704e-23,-12.409730125395676,4.3709359943191377e-23,0.1155460805222966,0.1,True,
^GSPC,2023-2024,-19.709118108694103,0.0,-19.84550521096108,0.0,0.0390656104984045,0.1,True,
^GSPC,2023-2025,-13.59759582097735,1.9813064807790403e-25,-24.894387609920127,0.0,0.050157232112192585,0.1,True,
^GSPC,2024,-15.198789445948403,5.869353704741244e-28,-15.485787852263016,2.5218856957599843e-28,0.054213112962040344,0.1,True,
^GSPC,2024-2025,-11.556557172396989,3.348065476586966e-21,-21.046036770599805,0.0,0.07165170606192044,0.1,True,
^GSPC,2025,-7.1178569323595156,3.7895901800520797e-10,-12.808013871218954,6.537304216929911e-24,0.14473982890531112,0.1,True,
^GSPC,Full,-13.59759582097735,1.9813064807790403e-25,-24.894387609920127,0.0,0.050157232112192585,0.1,True,
^SOX,2023,-13.200938240287392,1.0948305255393504e-24,-13.203955535247301,1.0802908960995567e-24,0.1235735642207544,0.1,True,
^SOX,2023-2024,-21.966181286946032,0.0,-22.308144957905014,0.0,0.07343925241346609,0.1,True,
^SOX,2023-2025,-13.44823976770982,3.7280872712948995e-25,-26.2333004306951,0.0,0.06306770360293242,0.1,True,
^SOX,2024,-17.31955154498495,5.49205376890114e-30,-17.76270861523656,3.333174264259691e-30,0.09169172011693907,0.1,True,
^SOX,2024-2025,-11.312367459637999,1.2300333149181781e-20,-22.184826360143713,0.0,0.07880003742913333,0.1,True,
^SOX,2025,-7.0535490591393675,5.448170068478572e-10,-12.987637673886823,2.8561270909996386e-24,0.21885655949211805,0.1,True,
^SOX,Full,-13.44823976770982,3.7280872712948995e-25,-26.2333004306951,0.0,0.06306770360293242,0.1,True,
binary_EMA_02,2023,-5.4755229295414525,2.346458479762422e-06,-4.31682292465556,0.00041534038890377436,0.6720930172026893,0.016082452981573694,False,
